id_ci,id_delito,id_vicf,id_tv,id_tpm,sexo,genero,pob,disc,fha_nac,edad,nacional,usuario_envio,fecha_envio
AME/CHA/00/MPI/184/02332/26/05,184,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02334/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02335/26/05,184,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02341/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02343/26/05,395,1,3,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02344/26/05,395,1,3,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02345/26/05,184,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02349/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02350/26/05,395,1,3,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02352/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02368/26/05,9,1,1,6,1,1,4,4,,71,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02405/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02411/26/05,184,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02413/26/05,184,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02414/26/05,184,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/360/02213/26/05,184,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/360/02225/26/05,1519,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/387/02415/26/05,387,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/395/02120/26/05,373,2,1,6,2,2,4,4,,29,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/395/02120/26/05,395,1,1,6,2,2,4,4,,29,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/395/02165/26/05,395,1,1,6,2,2,4,4,,46,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/395/02188/26/05,395,1,1,6,1,1,4,4,,42,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/395/02248/26/05,395,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/395/02266/26/05,395,1,1,6,1,1,4,4,,46,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/395/02416/26/05,395,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/400/02170/26/05,400,1,1,6,1,1,4,4,,40,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/400/02184/26/05,400,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/400/02289/26/05,400,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02024/26/05,126,2,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02024/26/05,443,1,1,6,1,1,4,4,,56,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02024/26/05,443,3,1,6,1,1,4,4,,37,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02024/26/05,443,4,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02025/26/05,443,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02058/26/05,443,1,1,6,1,1,4,4,,18,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02064/26/05,443,1,1,6,1,1,4,4,,49,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02065/26/05,443,1,1,6,1,1,4,4,,19,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02070/26/05,443,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02070/26/05,443,2,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02077/26/05,443,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02118/26/05,443,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02119/26/05,443,1,1,6,2,2,4,4,,40,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02163/26/05,443,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02169/26/05,443,1,1,6,1,1,4,4,,48,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02171/26/05,443,1,1,6,1,1,4,4,,42,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02182/26/05,443,1,1,6,1,1,4,4,,19,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02220/26/05,443,1,1,6,1,1,4,4,,45,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02226/26/05,443,1,1,6,1,1,4,4,,39,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02232/26/05,443,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02237/26/05,443,1,1,6,1,1,4,4,,40,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/443/02251/26/05,443,1,1,6,1,1,4,4,,31,73,MEXX25052300,2026-06-04
